Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome,ProdTaken
31.0,self enquiry,1,25.0,salaried,female,4,4.0,basic,3.0,single,3.0,0,1,1,3.0,executive,21310.0,0
37.0,self enquiry,1,9.0,small business,male,4,4.0,basic,3.0,single,6.0,0,5,1,1.0,executive,21197.0,0
23.0,self enquiry,1,10.0,salaried,female,3,4.0,deluxe,3.0,married,2.0,1,5,1,2.0,manager,22849.0,1
35.0,self enquiry,1,22.0,salaried,male,3,3.0,standard,3.0,married,5.0,1,1,0,0.0,senior manager,22632.0,0
31.0,self enquiry,3,12.0,small business,male,3,1.0,deluxe,3.0,married,5.0,0,5,1,1.0,manager,20460.0,0
34.0,company invited,1,9.0,salaried,male,2,4.0,basic,3.0,divorced,4.0,0,2,1,0.0,executive,17979.0,0
43.0,self enquiry,1,31.0,small business,male,3,4.0,standard,5.0,married,3.0,1,1,1,1.0,senior manager,26084.0,0
56.0,company invited,1,15.0,small business,female,3,3.0,basic,3.0,divorced,3.0,0,2,0,0.0,executive,17942.0,0
42.0,self enquiry,1,26.0,salaried,male,3,4.0,deluxe,5.0,married,4.0,0,2,1,1.0,manager,21750.0,0
36.0,self enquiry,3,7.0,small business,male,3,4.0,deluxe,3.0,divorced,2.0,0,3,1,1.0,manager,23395.0,0
33.0,company invited,3,12.0,salaried,male,3,4.0,deluxe,4.0,divorced,3.0,0,3,1,2.0,manager,25202.0,0
36.0,self enquiry,1,25.0,salaried,male,3,2.0,deluxe,5.0,married,3.0,0,3,0,2.0,manager,23886.0,0
37.0,self enquiry,3,6.0,salaried,male,2,4.0,standard,3.0,divorced,6.0,0,2,1,1.0,senior manager,25609.0,1
45.0,self enquiry,1,11.0,small business,female,2,5.0,deluxe,5.0,single,2.0,1,3,1,0.0,manager,20769.0,0
31.0,self enquiry,3,19.0,large business,female,3,4.0,deluxe,3.0,single,2.0,0,1,1,2.0,manager,25255.0,0
40.0,self enquiry,3,28.0,small business,male,3,4.0,deluxe,3.0,divorced,3.0,1,3,1,1.0,manager,21380.0,1
32.0,company invited,3,8.0,salaried,female,3,3.0,basic,5.0,married,2.0,0,3,0,1.0,executive,17827.0,0
45.0,self enquiry,1,16.0,salaried,male,4,4.0,basic,5.0,divorced,3.0,1,3,1,1.0,executive,21237.0,0
41.0,self enquiry,3,33.0,small business,male,4,4.0,deluxe,5.0,married,3.0,0,1,1,3.0,manager,27074.0,0
29.0,company invited,1,6.0,salaried,male,3,1.0,deluxe,3.0,single,1.0,1,3,0,1.0,manager,21294.0,0
36.0,company invited,1,24.0,small business,female,3,3.0,basic,3.0,single,2.0,0,3,0,1.0,executive,17153.0,0
50.0,company invited,2,9.0,small business,male,2,3.0,king,4.0,divorced,2.0,0,2,1,0.0,vp,33200.0,0
22.0,self enquiry,1,12.0,small business,male,3,3.0,basic,3.0,married,1.0,0,1,1,1.0,executive,17773.0,0
43.0,company invited,1,13.0,small business,male,2,1.0,basic,3.0,married,5.0,0,4,1,0.0,executive,17089.0,0
59.0,self enquiry,1,30.0,salaried,male,3,4.0,basic,3.0,married,3.0,0,3,1,2.0,executive,21050.0,0
36.0,self enquiry,3,35.0,salaried,female,4,5.0,basic,3.0,married,2.0,0,4,1,3.0,executive,21108.0,0
29.0,self enquiry,1,9.0,small business,male,3,4.0,standard,3.0,married,2.0,0,1,0,2.0,senior manager,26935.0,0
28.0,self enquiry,1,13.0,salaried,male,3,5.0,basic,3.0,married,3.0,0,1,1,2.0,executive,21217.0,0
28.0,self enquiry,1,13.0,small business,female,4,5.0,basic,3.0,married,2.0,0,1,0,2.0,executive,20865.0,0
31.0,self enquiry,3,13.0,salaried,male,2,4.0,basic,3.0,married,4.0,0,4,1,1.0,executive,17329.0,0
36.0,self enquiry,1,14.0,large business,female,2,3.0,standard,3.0,married,2.0,0,4,1,1.0,senior manager,25096.0,0
40.0,self enquiry,1,8.0,small business,female,2,4.0,basic,3.0,single,1.0,1,3,0,0.0,executive,17342.0,0
46.0,company invited,1,30.0,salaried,male,3,4.0,deluxe,5.0,married,3.0,1,1,1,1.0,manager,22311.0,0
31.0,self enquiry,1,27.0,salaried,male,3,4.0,deluxe,5.0,married,2.0,0,4,0,2.0,manager,28635.0,0
34.0,self enquiry,1,6.0,salaried,male,2,3.0,basic,3.0,married,2.0,0,3,1,1.0,executive,17691.0,0
32.0,company invited,1,9.0,salaried,male,4,4.0,basic,3.0,divorced,8.0,1,3,1,2.0,executive,22400.0,1
46.0,company invited,1,13.0,small business,female,1,3.0,deluxe,3.0,married,3.0,0,5,1,0.0,manager,20258.0,0
28.0,self enquiry,1,10.0,small business,male,3,5.0,basic,3.0,single,2.0,0,1,1,2.0,executive,20723.0,0
36.0,self enquiry,1,11.0,salaried,male,3,3.0,deluxe,4.0,single,1.0,0,2,0,2.0,manager,20914.0,0
30.0,self enquiry,3,11.0,small business,female,1,4.0,deluxe,3.0,married,2.0,0,1,1,0.0,manager,21118.0,0
29.0,self enquiry,1,14.0,small business,male,3,4.0,deluxe,3.0,married,2.0,1,3,1,1.0,manager,20056.0,0
36.0,self enquiry,3,14.0,salaried,female,3,4.0,deluxe,3.0,married,3.0,1,4,1,2.0,manager,23882.0,0
32.0,self enquiry,3,14.0,small business,male,4,4.0,deluxe,3.0,married,6.0,0,2,0,1.0,manager,26225.0,0
27.0,self enquiry,3,36.0,small business,male,3,4.0,deluxe,3.0,married,7.0,0,5,0,1.0,manager,22984.0,0
38.0,self enquiry,1,7.0,large business,female,3,4.0,standard,3.0,single,6.0,0,5,1,1.0,senior manager,26169.0,0
26.0,self enquiry,1,7.0,large business,male,3,4.0,basic,3.0,divorced,6.0,0,5,1,2.0,executive,21907.0,0
41.0,self enquiry,3,17.0,small business,male,4,5.0,standard,4.0,married,4.0,0,4,0,1.0,senior manager,28383.0,0
37.0,self enquiry,2,20.0,salaried,male,3,4.0,basic,4.0,divorced,6.0,0,3,1,1.0,executive,20821.0,0
32.0,self enquiry,3,9.0,salaried,male,4,4.0,deluxe,3.0,single,6.0,1,5,1,2.0,manager,25260.0,0
31.0,company invited,1,9.0,small business,male,3,3.0,standard,3.0,married,1.0,0,4,1,2.0,senior manager,28675.0,0
45.0,self enquiry,3,35.0,small business,female,3,2.0,super deluxe,3.0,married,5.0,1,1,1,1.0,avp,31998.0,0
40.0,self enquiry,3,16.0,large business,female,2,4.0,deluxe,4.0,married,1.0,0,5,1,0.0,manager,21852.0,0
23.0,self enquiry,1,10.0,small business,female,2,3.0,basic,4.0,single,2.0,0,3,1,1.0,executive,18295.0,0
32.0,self enquiry,3,25.0,salaried,male,3,5.0,standard,3.0,married,4.0,0,3,1,2.0,senior manager,24610.0,0
28.0,self enquiry,1,35.0,salaried,male,3,5.0,deluxe,4.0,divorced,2.0,0,1,1,2.0,manager,21549.0,0
25.0,company invited,1,8.0,salaried,male,3,1.0,deluxe,3.0,married,2.0,0,1,0,1.0,manager,20206.0,0
53.0,self enquiry,1,8.0,small business,male,2,1.0,super deluxe,4.0,single,5.0,0,1,1,0.0,avp,31598.0,0
54.0,company invited,3,9.0,small business,female,3,5.0,standard,4.0,divorced,4.0,0,2,0,2.0,senior manager,26203.0,0
36.0,self enquiry,1,28.0,salaried,female,3,4.0,deluxe,3.0,divorced,3.0,1,3,0,2.0,manager,22692.0,0
37.0,self enquiry,1,13.0,salaried,male,3,4.0,basic,3.0,divorced,2.0,0,5,1,2.0,executive,21888.0,0
31.0,self enquiry,1,13.0,small business,female,2,3.0,standard,3.0,single,2.0,1,4,1,1.0,senior manager,22143.0,0
36.0,self enquiry,2,19.0,salaried,male,2,3.0,basic,4.0,divorced,5.0,0,3,1,0.0,executive,17143.0,0
42.0,self enquiry,3,13.0,small business,male,3,4.0,standard,3.0,single,3.0,0,5,1,1.0,senior manager,27919.0,0
59.0,self enquiry,1,16.0,small business,female,4,5.0,basic,4.0,married,6.0,1,1,1,2.0,executive,22024.0,0
33.0,self enquiry,1,11.0,salaried,female,3,4.0,basic,3.0,divorced,2.0,0,2,0,2.0,executive,17911.0,0
36.0,self enquiry,1,9.0,salaried,male,3,5.0,standard,4.0,married,4.0,0,4,1,1.0,senior manager,28952.0,0
41.0,company invited,1,15.0,small business,male,3,3.0,king,3.0,married,3.0,0,4,1,2.0,vp,34419.0,0
50.0,self enquiry,3,18.0,small business,female,4,4.0,deluxe,3.0,single,5.0,0,4,0,2.0,manager,23185.0,0
30.0,self enquiry,1,9.0,large business,female,2,3.0,basic,5.0,single,6.0,1,4,1,1.0,executive,17657.0,1
43.0,self enquiry,1,18.0,salaried,male,2,4.0,super deluxe,4.0,married,2.0,0,3,1,1.0,avp,29336.0,0
36.0,self enquiry,3,25.0,small business,female,3,4.0,deluxe,3.0,married,3.0,0,4,1,2.0,manager,23279.0,0
36.0,company invited,3,18.0,small business,male,3,4.0,deluxe,3.0,married,3.0,0,5,0,1.0,manager,23646.0,0
20.0,self enquiry,1,17.0,small business,female,3,4.0,basic,5.0,single,2.0,1,3,1,2.0,executive,17600.0,1
38.0,self enquiry,3,13.0,small business,female,2,1.0,deluxe,5.0,married,2.0,1,3,1,1.0,manager,20605.0,0
44.0,company invited,1,9.0,salaried,male,4,4.0,basic,3.0,married,8.0,1,3,0,1.0,executive,28909.0,1
28.0,company invited,3,7.0,small business,male,4,4.0,deluxe,4.0,divorced,2.0,1,2,0,3.0,manager,25027.0,0
46.0,self enquiry,1,16.0,salaried,male,3,4.0,deluxe,4.0,married,2.0,0,4,1,1.0,manager,21026.0,0
27.0,company invited,1,7.0,salaried,female,4,6.0,basic,3.0,married,5.0,0,4,1,3.0,executive,23042.0,0
35.0,self enquiry,3,31.0,small business,female,3,5.0,deluxe,4.0,single,2.0,1,5,1,1.0,manager,23277.0,1
38.0,self enquiry,1,6.0,large business,female,3,3.0,standard,5.0,divorced,2.0,0,4,1,2.0,senior manager,28582.0,0
52.0,self enquiry,3,9.0,small business,male,2,4.0,super deluxe,5.0,divorced,2.0,0,5,1,0.0,avp,31856.0,0
38.0,company invited,1,8.0,salaried,female,3,1.0,deluxe,5.0,single,7.0,1,1,0,0.0,manager,20980.0,0
24.0,self enquiry,1,33.0,salaried,male,3,4.0,basic,3.0,married,3.0,0,1,0,2.0,executive,21582.0,0
21.0,self enquiry,1,24.0,salaried,female,3,3.0,basic,3.0,single,2.0,0,3,1,2.0,executive,17693.0,1
28.0,self enquiry,1,26.0,salaried,male,4,5.0,basic,5.0,married,3.0,0,1,0,1.0,executive,22744.0,0
37.0,self enquiry,1,16.0,small business,male,3,5.0,deluxe,4.0,married,4.0,1,4,0,2.0,manager,27525.0,0
50.0,self enquiry,1,13.0,small business,female,2,4.0,king,3.0,married,6.0,1,4,1,1.0,vp,33740.0,0
33.0,self enquiry,1,12.0,salaried,male,4,3.0,basic,4.0,married,2.0,1,2,1,1.0,executive,21976.0,0
32.0,self enquiry,1,16.0,salaried,male,3,4.0,standard,4.0,married,3.0,0,3,0,1.0,senior manager,29326.0,0
60.0,self enquiry,1,25.0,small business,male,4,4.0,standard,3.0,single,8.0,0,3,1,2.0,senior manager,29190.0,0
40.0,self enquiry,3,8.0,salaried,female,3,3.0,king,3.0,married,1.0,0,3,1,0.0,vp,33041.0,0
25.0,self enquiry,3,19.0,small business,male,2,3.0,basic,3.0,divorced,2.0,0,3,1,0.0,executive,17096.0,0
37.0,self enquiry,1,10.0,salaried,male,4,2.0,deluxe,5.0,married,8.0,0,1,1,3.0,manager,25520.0,0
47.0,self enquiry,1,8.0,small business,female,3,3.0,deluxe,3.0,married,6.0,0,2,0,1.0,manager,20070.0,0
29.0,self enquiry,3,12.0,small business,male,4,4.0,deluxe,3.0,single,3.0,0,3,0,2.0,manager,23586.0,0
31.0,self enquiry,2,16.0,salaried,male,3,4.0,deluxe,3.0,divorced,2.0,1,3,1,2.0,manager,25025.0,0
24.0,company invited,3,8.0,salaried,female,3,4.0,basic,4.0,single,3.0,1,5,1,2.0,executive,19901.0,1
36.0,self enquiry,3,11.0,large business,male,3,4.0,standard,5.0,single,2.0,1,4,1,2.0,senior manager,28260.0,1
33.0,self enquiry,3,7.0,small business,female,3,4.0,standard,3.0,married,3.0,0,5,1,1.0,senior manager,29100.0,0
26.0,self enquiry,1,12.0,salaried,female,2,4.0,basic,4.0,divorced,2.0,0,3,1,0.0,executive,17368.0,0
28.0,company invited,3,27.0,salaried,female,3,4.0,deluxe,3.0,single,3.0,0,1,1,2.0,manager,28659.0,0
48.0,self enquiry,3,21.0,small business,male,3,4.0,deluxe,5.0,single,4.0,0,1,1,2.0,manager,23638.0,0
19.0,self enquiry,3,11.0,salaried,male,3,3.0,standard,4.0,single,1.0,1,4,1,0.0,senior manager,17994.0,1
32.0,self enquiry,1,7.0,small business,male,3,4.0,basic,4.0,single,3.0,0,3,0,1.0,executive,21179.0,0
30.0,self enquiry,3,11.0,small business,female,1,4.0,deluxe,3.0,married,2.0,0,2,0,0.0,manager,21118.0,0
32.0,self enquiry,3,13.0,salaried,male,4,6.0,deluxe,3.0,married,6.0,1,3,0,3.0,manager,24850.0,1
52.0,self enquiry,1,7.0,salaried,male,4,4.0,basic,3.0,married,3.0,0,4,1,1.0,executive,21401.0,0
43.0,company invited,1,16.0,salaried,female,2,4.0,deluxe,3.0,married,2.0,0,3,0,0.0,manager,20257.0,0
60.0,company invited,1,21.0,salaried,female,3,4.0,standard,3.0,single,2.0,1,5,1,1.0,senior manager,29190.0,1
28.0,company invited,3,15.0,salaried,male,3,4.0,standard,3.0,single,3.0,0,2,1,1.0,senior manager,27404.0,0
36.0,self enquiry,1,8.0,salaried,female,2,3.0,deluxe,4.0,single,1.0,1,3,1,0.0,manager,20410.0,0
29.0,self enquiry,1,13.0,salaried,male,2,3.0,deluxe,3.0,married,2.0,1,3,0,0.0,manager,21623.0,0
37.0,self enquiry,3,12.0,small business,male,3,3.0,deluxe,3.0,divorced,5.0,0,3,0,0.0,manager,21502.0,0
31.0,company invited,3,13.0,small business,female,3,3.0,standard,5.0,married,3.0,0,1,1,2.0,senior manager,24637.0,0
59.0,self enquiry,1,9.0,large business,male,3,4.0,basic,3.0,single,6.0,0,2,1,2.0,executive,21157.0,1
36.0,self enquiry,1,33.0,small business,male,3,3.0,deluxe,3.0,married,7.0,0,3,0,0.0,manager,20237.0,0
59.0,self enquiry,1,9.0,salaried,male,3,4.0,basic,3.0,married,4.0,0,3,0,0.0,executive,17177.0,0
32.0,self enquiry,1,14.0,small business,female,3,4.0,standard,3.0,single,3.0,1,4,1,2.0,senior manager,25821.0,0
41.0,self enquiry,1,8.0,salaried,female,2,5.0,basic,3.0,married,5.0,1,3,0,1.0,executive,17778.0,1
37.0,self enquiry,1,16.0,salaried,female,2,3.0,basic,5.0,married,1.0,1,3,1,1.0,executive,17782.0,0
33.0,self enquiry,3,20.0,salaried,male,4,4.0,deluxe,3.0,married,4.0,0,2,0,1.0,manager,23081.0,0
43.0,self enquiry,1,24.0,salaried,female,3,2.0,deluxe,5.0,single,5.0,1,1,1,2.0,manager,25223.0,0
32.0,self enquiry,1,15.0,salaried,female,3,3.0,deluxe,3.0,divorced,2.0,1,5,1,2.0,manager,21322.0,0
33.0,self enquiry,3,13.0,small business,male,3,4.0,deluxe,3.0,single,3.0,0,5,1,2.0,manager,23688.0,0
33.0,self enquiry,1,6.0,small business,female,3,2.0,super deluxe,3.0,married,5.0,0,2,0,2.0,avp,31184.0,0
34.0,company invited,3,12.0,small business,female,2,5.0,basic,3.0,married,1.0,0,4,0,1.0,executive,17351.0,1
40.0,self enquiry,1,30.0,small business,male,4,4.0,basic,5.0,single,2.0,0,3,0,3.0,executive,22582.0,1
31.0,company invited,1,16.0,small business,female,2,3.0,standard,3.0,married,5.0,0,1,1,1.0,senior manager,26031.0,0
31.0,company invited,1,9.0,small business,male,3,3.0,standard,3.0,married,1.0,0,4,1,0.0,senior manager,28675.0,0
43.0,company invited,1,16.0,salaried,female,2,4.0,deluxe,3.0,married,2.0,0,3,1,0.0,manager,20257.0,0
36.0,self enquiry,1,32.0,salaried,male,3,5.0,deluxe,3.0,single,6.0,0,2,0,2.0,manager,22359.0,0
36.0,self enquiry,2,15.0,large business,male,4,4.0,basic,3.0,single,3.0,0,5,0,2.0,executive,23001.0,0
41.0,self enquiry,3,26.0,small business,female,3,3.0,basic,4.0,single,2.0,1,4,0,2.0,executive,18140.0,1
19.0,self enquiry,2,8.0,large business,male,2,4.0,basic,3.0,single,2.0,0,3,1,1.0,executive,17564.0,1
43.0,company invited,1,13.0,small business,male,2,2.0,basic,3.0,married,5.0,0,4,0,1.0,executive,17089.0,0
44.0,self enquiry,1,15.0,salaried,female,3,4.0,deluxe,4.0,married,6.0,0,3,1,1.0,manager,23443.0,0
48.0,company invited,3,34.0,salaried,female,4,2.0,deluxe,3.0,single,6.0,1,4,1,3.0,manager,25075.0,1
20.0,self enquiry,1,10.0,small business,female,4,4.0,basic,4.0,single,3.0,0,3,1,3.0,executive,20161.0,0
30.0,company invited,3,20.0,large business,female,3,4.0,deluxe,4.0,single,7.0,0,3,0,2.0,manager,24443.0,1
48.0,self enquiry,3,13.0,small business,male,3,3.0,deluxe,5.0,married,5.0,0,4,1,1.0,manager,20486.0,0
41.0,self enquiry,3,29.0,small business,male,4,5.0,deluxe,3.0,divorced,4.0,1,3,1,2.0,manager,25058.0,1
59.0,self enquiry,2,12.0,small business,male,2,3.0,basic,3.0,divorced,1.0,0,4,1,0.0,executive,17267.0,0
18.0,company invited,1,11.0,salaried,male,3,3.0,basic,3.0,single,2.0,0,2,1,1.0,executive,16051.0,0
18.0,company invited,1,6.0,salaried,female,3,3.0,basic,3.0,single,2.0,0,5,1,1.0,executive,16611.0,0
35.0,self enquiry,1,15.0,small business,male,2,3.0,deluxe,3.0,single,2.0,0,4,0,1.0,manager,20098.0,0
35.0,company invited,3,17.0,salaried,male,3,4.0,deluxe,3.0,married,3.0,1,1,1,2.0,manager,22679.0,0
33.0,self enquiry,1,9.0,small business,male,3,4.0,deluxe,4.0,married,6.0,0,4,1,2.0,manager,23561.0,1
40.0,self enquiry,1,7.0,salaried,female,4,5.0,super deluxe,3.0,married,3.0,0,3,1,1.0,avp,31420.0,0
40.0,company invited,1,7.0,salaried,male,4,4.0,deluxe,3.0,married,3.0,1,5,1,3.0,manager,25150.0,0
43.0,self enquiry,1,7.0,salaried,female,3,5.0,deluxe,3.0,married,2.0,1,3,0,1.0,manager,24740.0,0
49.0,self enquiry,1,11.0,salaried,male,4,5.0,standard,3.0,single,2.0,0,5,1,1.0,senior manager,29677.0,0
42.0,self enquiry,1,8.0,salaried,male,3,4.0,deluxe,3.0,single,4.0,0,1,1,0.0,manager,21781.0,0
50.0,self enquiry,1,15.0,salaried,male,3,3.0,basic,3.0,divorced,5.0,0,5,1,0.0,executive,17380.0,0
37.0,company invited,3,17.0,small business,male,3,4.0,standard,3.0,single,3.0,0,2,1,2.0,senior manager,28658.0,0
31.0,company invited,1,26.0,salaried,male,3,3.0,standard,3.0,divorced,4.0,0,3,1,0.0,senior manager,24824.0,1
61.0,self enquiry,1,14.0,salaried,female,3,4.0,king,5.0,married,7.0,0,5,1,1.0,vp,38244.0,0
49.0,company invited,1,24.0,salaried,male,3,3.0,deluxe,3.0,married,2.0,1,1,0,0.0,manager,21804.0,0
48.0,self enquiry,3,9.0,small business,female,3,4.0,deluxe,3.0,divorced,2.0,1,2,1,1.0,manager,23215.0,0
36.0,self enquiry,1,22.0,salaried,female,2,1.0,basic,5.0,single,2.0,0,1,1,0.0,executive,17743.0,1
30.0,self enquiry,1,13.0,small business,female,3,4.0,basic,3.0,married,3.0,0,3,0,2.0,executive,21809.0,0
43.0,self enquiry,3,21.0,small business,female,4,5.0,deluxe,3.0,single,2.0,0,3,1,1.0,manager,24922.0,0
29.0,self enquiry,2,12.0,small business,male,2,4.0,basic,4.0,married,2.0,0,3,1,1.0,executive,17804.0,0
35.0,self enquiry,3,7.0,small business,male,4,2.0,deluxe,3.0,married,2.0,0,5,0,2.0,manager,28403.0,0
45.0,company invited,1,31.0,small business,male,3,6.0,basic,3.0,single,4.0,0,3,0,1.0,executive,22386.0,0
42.0,company invited,1,27.0,small business,female,2,3.0,deluxe,3.0,married,3.0,0,1,0,0.0,manager,20265.0,0
52.0,self enquiry,1,7.0,salaried,male,4,4.0,basic,3.0,divorced,3.0,0,4,1,1.0,executive,21401.0,0
36.0,company invited,1,24.0,salaried,male,3,3.0,deluxe,3.0,single,3.0,0,3,1,0.0,manager,22779.0,0
37.0,self enquiry,3,6.0,salaried,male,2,4.0,standard,3.0,married,6.0,0,1,1,1.0,senior manager,25609.0,1
25.0,self enquiry,1,30.0,small business,male,3,3.0,basic,3.0,divorced,3.0,1,4,0,2.0,executive,21403.0,0
33.0,self enquiry,1,8.0,salaried,male,2,3.0,basic,3.0,single,1.0,0,3,1,0.0,executive,17500.0,0
54.0,self enquiry,1,13.0,salaried,male,3,4.0,deluxe,3.0,single,4.0,0,5,1,2.0,manager,21128.0,0
34.0,self enquiry,1,15.0,salaried,male,3,2.0,basic,5.0,married,8.0,0,3,1,2.0,executive,21821.0,0
31.0,company invited,1,30.0,salaried,male,4,6.0,basic,3.0,married,3.0,0,3,1,3.0,executive,21291.0,0
39.0,company invited,1,6.0,salaried,male,3,3.0,deluxe,3.0,married,2.0,1,5,1,2.0,manager,21472.0,0
28.0,self enquiry,1,12.0,large business,male,3,5.0,standard,3.0,married,3.0,1,3,1,2.0,senior manager,31486.0,0
26.0,self enquiry,1,11.0,large business,male,3,4.0,basic,3.0,married,3.0,1,3,1,2.0,executive,22369.0,1
36.0,company invited,1,24.0,salaried,male,3,3.0,deluxe,3.0,single,3.0,0,3,0,1.0,manager,22779.0,0
41.0,self enquiry,1,15.0,salaried,male,3,3.0,basic,5.0,divorced,3.0,0,2,0,2.0,executive,17238.0,0
39.0,self enquiry,1,22.0,salaried,male,4,5.0,standard,3.0,married,2.0,1,5,1,2.0,senior manager,30188.0,0
31.0,self enquiry,3,11.0,small business,female,4,5.0,deluxe,4.0,married,3.0,1,3,1,1.0,manager,23887.0,0
51.0,company invited,1,6.0,small business,female,1,4.0,standard,5.0,single,4.0,0,2,1,0.0,senior manager,22484.0,0
21.0,self enquiry,1,16.0,salaried,female,2,4.0,basic,5.0,single,2.0,0,3,0,1.0,executive,16416.0,1
47.0,company invited,3,10.0,small business,male,2,3.0,deluxe,3.0,single,4.0,0,4,0,1.0,manager,17976.0,0
48.0,self enquiry,1,10.0,salaried,male,3,4.0,standard,3.0,single,1.0,0,5,1,0.0,senior manager,25999.0,0
38.0,self enquiry,3,6.0,salaried,male,2,4.0,basic,5.0,single,5.0,0,3,0,1.0,executive,17858.0,0
40.0,company invited,1,22.0,small business,male,2,4.0,deluxe,3.0,single,7.0,0,5,0,0.0,manager,20094.0,0
32.0,self enquiry,1,9.0,salaried,female,2,3.0,standard,3.0,single,4.0,0,2,1,1.0,senior manager,26159.0,0
29.0,company invited,1,8.0,small business,male,2,4.0,basic,5.0,single,1.0,0,4,1,1.0,executive,18339.0,1
38.0,company invited,3,16.0,large business,female,2,3.0,deluxe,3.0,single,2.0,1,3,1,0.0,manager,20666.0,0
42.0,self enquiry,1,8.0,small business,male,2,3.0,super deluxe,5.0,divorced,1.0,0,3,1,1.0,avp,32665.0,0
43.0,company invited,1,12.0,salaried,male,4,4.0,basic,3.0,divorced,6.0,0,3,1,1.0,executive,20771.0,0
50.0,company invited,3,14.0,large business,male,2,3.0,deluxe,3.0,married,4.0,1,5,0,0.0,manager,21796.0,1
32.0,self enquiry,1,16.0,small business,male,1,3.0,standard,3.0,single,3.0,0,1,0,0.0,senior manager,26244.0,0
24.0,self enquiry,1,17.0,small business,male,4,2.0,basic,3.0,single,3.0,0,1,0,2.0,executive,22183.0,0
43.0,self enquiry,1,9.0,small business,female,3,5.0,basic,5.0,married,2.0,1,4,1,1.0,executive,21271.0,0
28.0,self enquiry,1,23.0,large business,male,2,4.0,basic,3.0,married,6.0,0,3,0,1.0,executive,17367.0,1
49.0,self enquiry,1,26.0,small business,female,3,3.0,deluxe,5.0,married,2.0,0,1,1,0.0,manager,21567.0,0
54.0,company invited,1,7.0,small business,female,3,5.0,super deluxe,3.0,married,6.0,1,1,0,1.0,avp,31643.0,0
30.0,self enquiry,1,30.0,salaried,male,3,2.0,basic,3.0,married,3.0,0,1,1,2.0,executive,21378.0,0
37.0,self enquiry,1,14.0,salaried,male,4,4.0,basic,3.0,single,4.0,0,3,0,3.0,executive,23356.0,0
53.0,self enquiry,1,8.0,large business,female,3,4.0,standard,3.0,married,1.0,0,5,1,2.0,senior manager,25169.0,1
28.0,company invited,3,9.0,salaried,male,3,6.0,deluxe,3.0,single,5.0,0,4,1,2.0,manager,23749.0,0
50.0,self enquiry,1,7.0,large business,female,3,4.0,basic,5.0,divorced,4.0,0,4,1,1.0,executive,22258.0,0
42.0,self enquiry,3,7.0,small business,male,3,2.0,standard,5.0,married,3.0,0,3,1,2.0,senior manager,27070.0,0
43.0,company invited,1,36.0,salaried,female,4,4.0,deluxe,3.0,married,4.0,0,3,1,3.0,manager,23234.0,0
35.0,company invited,1,10.0,salaried,male,3,5.0,basic,3.0,divorced,5.0,0,2,1,1.0,executive,21657.0,0
19.0,self enquiry,1,10.0,salaried,male,3,4.0,basic,3.0,single,3.0,0,4,0,1.0,executive,20098.0,1
29.0,self enquiry,1,8.0,salaried,male,3,3.0,basic,4.0,divorced,1.0,0,4,0,0.0,executive,17703.0,0
55.0,self enquiry,3,10.0,small business,female,3,4.0,deluxe,5.0,divorced,4.0,0,4,1,2.0,manager,24618.0,0
53.0,company invited,3,127.0,salaried,male,3,4.0,basic,3.0,married,4.0,0,1,1,2.0,executive,22160.0,0
39.0,company invited,1,9.0,salaried,female,4,2.0,deluxe,5.0,single,8.0,1,1,0,1.0,manager,24658.0,0
29.0,self enquiry,1,17.0,salaried,female,3,4.0,deluxe,3.0,single,5.0,0,4,1,2.0,manager,22338.0,0
27.0,self enquiry,1,10.0,small business,male,3,2.0,basic,3.0,divorced,3.0,0,5,1,2.0,executive,23098.0,0
36.0,self enquiry,1,30.0,salaried,male,3,5.0,deluxe,3.0,married,5.0,1,4,1,1.0,manager,24594.0,1
31.0,company invited,3,8.0,salaried,female,2,3.0,standard,3.0,married,2.0,1,1,1,0.0,senior manager,24852.0,0
35.0,self enquiry,1,6.0,salaried,female,2,1.0,basic,3.0,single,4.0,0,3,1,1.0,executive,17506.0,0
40.0,self enquiry,1,26.0,salaried,male,3,4.0,deluxe,3.0,married,2.0,0,5,1,1.0,manager,22580.0,0
21.0,self enquiry,1,21.0,salaried,male,3,3.0,basic,3.0,single,2.0,0,3,1,1.0,executive,16232.0,0
34.0,self enquiry,3,15.0,small business,male,3,4.0,deluxe,3.0,married,2.0,0,1,0,1.0,manager,25782.0,0
31.0,self enquiry,3,12.0,small business,female,2,5.0,deluxe,3.0,married,3.0,0,2,0,1.0,manager,24796.0,0
35.0,self enquiry,3,13.0,salaried,male,3,3.0,basic,3.0,divorced,2.0,0,3,1,0.0,executive,17404.0,0
45.0,self enquiry,3,17.0,salaried,female,2,3.0,super deluxe,3.0,divorced,4.0,0,4,1,1.0,avp,32650.0,0
35.0,company invited,1,24.0,salaried,male,3,3.0,deluxe,3.0,married,2.0,1,3,1,0.0,manager,20689.0,0
33.0,self enquiry,1,13.0,salaried,male,3,4.0,basic,3.0,single,5.0,0,2,0,2.0,executive,21716.0,0
26.0,company invited,1,6.0,salaried,female,2,3.0,deluxe,4.0,married,2.0,0,5,0,1.0,manager,21397.0,0
